@relation 'newest_weka_batters_no_null-weka.filters.unsupervised.attribute.Remove-R1,23-weka.filters.unsupervised.attribute.NumericToNominal-R19'

@attribute lgID {NL,AL}
@attribute yearID numeric
@attribute AB numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute SB numeric
@attribute CS numeric
@attribute BB numeric
@attribute SO numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute G numeric
@attribute GP {0,1}
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute num_years_in_league numeric
@attribute previous_appearances numeric

@data
NL,1998,7,0,3,1,0,0,1,0,0,0,0,0,1,0,1,5,0,76,185,27,2,0
AL,2014,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,76,190,25,0,0
NL,2012,86,8,21,6,0,2,13,0,0,5,24,0,0,0,3,27,0,75,260,24,0,0
NL,2013,296,46,84,14,0,17,51,0,1,23,80,0,0,0,9,108,0,75,260,25,1,0
NL,2014,527,55,152,34,5,15,68,3,2,26,114,5,0,7,9,142,0,75,260,26,2,0
AL,1967,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,74,185,20,0,0
AL,1968,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,74,185,21,1,0
AL,1969,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,74,185,22,2,0
AL,1972,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,69,180,24,0,0
AL,1973,66,21,14,2,0,3,6,2,1,17,18,0,0,0,2,55,0,69,180,25,1,0
NL,1976,29,1,4,2,0,0,2,0,0,8,7,0,0,0,0,25,0,69,180,28,4,0
NL,1977,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,69,180,29,5,0
AL,1978,15,5,3,1,0,0,1,0,0,7,2,0,0,0,0,15,0,69,180,30,6,0
NL,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,77,210,26,0,0
NL,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,77,210,27,1,0
